"name","airplay_count","shows_count"
"Brray",45,0
"Maverick City Music",45,3
"En Vogue",44,9
"Rachel Platten",44,20
"Rocío Dúrcal",44,0
"Carlos Baute",44,1
"Celia Cruz",44,0
"Keith Sweat",44,34
"Golden Earring",44,0
"Justice",44,20
"Oscar Ortiz",44,0
"Stephanie Mills",44,26
"Bradley Cooper",44,0
"Los Muecas",44,0
"Dio",44,0
"Next",44,12
"MacKenzie Porter",44,2
"Los Ramones",44,6
"Banda La Del Valle",44,0
"Kacey Musgraves",44,7
"Manolo Muñoz",44,0
"Banda La Chacaloza De Jerez Zacatecas",43,0
"Carly Rae Jepsen",43,5
"Ashanti",43,33
"Muse",43,2
"Cage The Elephant",43,30
"Ray Dalton",43,0
