"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"Glen Helen Blockbuster Pavilion","San Bernardino","California",0,37,37,0,100.00,0.00
"Atlantic City Boardwalk","Atlantic City","New Jersey",0,24,24,0,100.00,0.00
"Mountain Oasis","Asheville","North Carolina",0,33,33,0,100.00,0.00
"International Agri-Center","Tulare","California",0,23,23,0,100.00,0.00
"Muddy Creek Cafe","Sparta","NC",NULL,23,23,0,100.00,0.00
"Intracoastal Waterway","West Palm Beach","Florida",0,26,26,0,100.00,0.00
"Children's Mercy Park","Kansas City","Kansas",0,71,71,0,100.00,0.00
"Walter Where?House","Phoenix","AZ",NULL,51,51,0,100.00,0.00
"Embarcadero Marina Park North","San Diego","CA",NULL,20,20,0,100.00,0.00
"Invesco Field at Mile High Parking Lot","Denver","Colorado",0,34,34,0,100.00,0.00
"Invesco Field Parking Lot","Denver","Colorado",0,116,116,0,100.00,0.00
"Chinook Winds Casino","Lincoln City","Oregon",0,32,32,0,100.00,0.00
"Iowa Speedway","Newton","Iowa",30000,36,36,0,100.00,0.00
"IP Casino, Resort & Spa","Biloxi","MS",NULL,157,157,0,100.00,0.00
"May Farms","Denver","Colorado",0,23,23,0,100.00,0.00
"Chocktaw Stadium","Arlington","Texas",0,37,37,0,100.00,0.00
"May Farms","Byers","Colorado",0,109,109,0,100.00,0.00
"Chukchansi Park","Fresno","CA",NULL,23,23,0,100.00,0.00
"Gigi's Bar Hoxton","Hoxton",NULL,NULL,20,20,0,100.00,0.00
"Maya Night Club","Redwood City","CA",NULL,45,45,0,100.00,0.00
"Gibson Ranch Park","Sacramento","California",0,100,100,0,100.00,0.00
"Sala Euterpe","Alicante",NULL,115,22,22,0,100.00,0.00
"Saint Charles Amphitheater","Saint Charles","Iowa",0,22,22,0,100.00,0.00
"Mule Barn Sports Bar & Grill","Justin","TX",NULL,59,59,0,100.00,0.00
"The Corktown Pub","Hamilton","ON",NULL,35,35,0,100.00,0.00
"Saddle Bags","Savannah","GA",NULL,32,32,0,100.00,0.00
"Island Resort & Casino","Harris","MI",650,32,32,0,100.00,0.00
"Bradley Park","Asbury Park","New Jersey",0,34,34,0,100.00,0.00
"Town Hall Hotel (The Townie)","Newtown","NSW",NULL,28,28,0,100.00,0.00
"Multiple Venues","Gainesville","Florida",0,152,152,0,100.00,0.00
"Jackpot Junction Casino Hotel","Morton","MN",NULL,21,21,0,100.00,0.00
"The Crab Place","Crisfield","MD",NULL,24,24,0,100.00,0.00
"The Crazy Bull","Macon","GA",NULL,29,29,0,100.00,0.00
"Jacome Plaza","Tucson","Arizona",0,20,20,0,100.00,0.00
"RYSE","Saint Charles","MO",NULL,35,35,0,100.00,0.00
"Dub:rek Studios","Derby",NULL,NULL,37,37,0,100.00,0.00
"Royal Highland Centre","Edinburgh",NULL,NULL,23,23,0,100.00,0.00
"The Dallas Bull","Tampa","FL",NULL,32,32,0,100.00,0.00
"AirHogs Stadium","Dallas","Texas",0,69,69,0,100.00,0.00
"Vista Brewing Company","Driftwood","TX",NULL,22,22,0,100.00,0.00
"Virginia Key Beach Park","Miami","Florida",10000,34,34,0,100.00,0.00
"Museum Park","Miami","Florida",0,33,33,0,100.00,0.00
"Virginia Beach - Ocean Front","Virginia Beach","Virginia",0,59,59,0,100.00,0.00
"The Dance Hall","Kittery","ME",NULL,26,26,0,100.00,0.00
"Music Midtown","Atlanta","Georgia",0,35,35,0,100.00,0.00
"City Stages","Birmingham","Alabama",0,40,40,0,100.00,0.00
"Rose Quarter Riverfront","Portland","Oregon",0,98,98,0,100.00,0.00
"Roger Sherman Baldwin Park","Greenwich","Connecticut",0,26,26,0,100.00,0.00
"Rodeo Event Center","Memphis","TN",NULL,40,40,0,100.00,0.00
"Aksarben Village","Omaha","Nebraska",0,28,28,0,100.00,0.00
"Rockin' Red Dirt Ranch","Pryor","Oklahoma",0,59,59,0,100.00,0.00
"The Drawing Room","Chesham",NULL,NULL,21,21,0,100.00,0.00
"Janesville Airport","Janesville","WI",0,22,22,0,100.00,0.00
"Janesville Airport","Janesville","Wisconsin",0,75,75,0,100.00,0.00
"Rockingham Speedway","Rockingham","North Carolina",0,65,65,0,100.00,0.00
"BottleRock Napa Valley","Napa","California",0,40,40,0,100.00,0.00
"The Eighth State Brewing Company","Greenville","SC",NULL,26,26,0,100.00,0.00
"The Electric Factory - Outside Stage","Philadelphia","Pennsylvania",0,20,20,0,100.00,0.00
"Rock City Campgrounds @ Charlotte Motor Speedway","Concord","North Carolina",95000,304,304,0,100.00,0.00
"Jetblue Park","Fort Myers","FL",11000,55,55,0,100.00,0.00
"Jetblue Park","Fort Myers","Florida",11000,100,100,0,100.00,0.00
"Jet Blue Park","Fort Myers","Florida",11000,26,26,0,100.00,0.00
"Gaslamp Quarter","San Diego","California",0,41,41,0,100.00,0.00
